Date,sentence,fear,anger,anticip,trust,surprise,sadness,disgust,anticipation,joy,positive,negative,Service Sales
19/12/18,awesome workshop boss vincent his staff mechanics are friendly knowledgeable fast efficient their service too highly recommended,0,0,0,0.285714286,0,0,0,0.285714286,0.142857143,0.285714286,0,98937.79
20/12/18,awesome bro thank u continuing support bro,0,0,0,0,0,0,0,,0,0,0,98937.79
29/12/18,,0,0,0,0,0,0,0,,0,0,0,
29/12/18,thank u bro,0,0,0,0,0,0,0,,0,0,0,98937.79
11/2/2019,,0,0,0,0,0,0,0,,0,0,0,
17/02/19,thank u,0,0,0,0,0,0,0,,0,0,0,
15/02/19,top notch services i am paying client try it believe it,0,0,0,0.333333333,0,0,0,0.333333333,0,0.333333333,0,54255.96
17/02/19,thank u your support bro,0,0,0,0,0,0,0,,0,0,0,
17/02/19,friendly knowledgeable boss always share tips advised what need be done what is not neccesary same goes their crew members professional will personally show you what parts are damage or defects that need be change,0.055555556,0.055555556,0,0.333333333,0,0.055555556,0.055555556,0.111111111,0.111111111,0.166666667,0.055555556,54255.96
17/02/19,power thank u your support bro,0,0,0,0,0,0,0,,0,0,0,54255.96
17/02/19,came here repairs modification works ever since friend recommended me exceptional work that comes with great pricing advices that actually matters no nonsense bait you pay what you dont need if youre tired getting scammed by authorised dealers workshop give here try you will be part team before you even know it,0.076923077,0,0,0.307692308,0,0,0,0.076923077,0.153846154,0.153846154,0.230769231,
17/02/19,thank u brooo,0,0,0,0,0,0,0,,0,0,0,
17/02/19,dont know where go head over v2d one stop get everything done settled by professionals here am paying customer very satisfied with products services advices boss vincent,0,0,0,0,0,0,0,,0.333333333,0.666666667,0,54255.96
17/02/19,awesome bro,0,0,0,0,0,0,0,,0,0,0,54255.96
17/02/19,awesome team v2d,0,0,0,1,0,0,0,,0,0,0,54255.96
7/4/2019,thank u bro,0,0,0,0,0,0,0,,0,0,0,
11/4/2019,,0,0,0,0,0,0,0,,0,0,0,
12/4/2019,thank u bro,0,0,0,0,0,0,0,,0,0,0,
30/04/19,did my first servicing my honda jazz with pro jex v2d so far one best experience i ve got upon meeting vincent outside his workshop he s friendly boss he treat me just like one his friends real nice fella he gave me assurance that my car gonna be good hands he did provide me videos images process done my car servicing when im not there price wise is also reasonable kudos vincent his team your great service n workmanship will return again u guys awesome bro,0.034482759,0.034482759,0,0.24137931,0.068965517,0.034482759,0.034482759,0.103448276,0.137931034,0.275862069,0.034482759,102873.93
30/04/19,powerr thank u bro,0,0,0,0,0,0,0,,0,0,0,102873.93
5/5/2019,professional at it works all time,0,0,0,0.333333333,0,0,0,0.333333333,0,0.333333333,0,97540.54
5/5/2019,thank you bro,0,0,0,0,0,0,0,,0,0,0,97540.54
10/5/2019,friendly guys at workshop vincent has great knowledge what hes doing will certainly recommend this place anyone looking service their rides,0,0,0,0.285714286,0,0,0,0.142857143,0.142857143,0.428571429,0,97540.54
10/5/2019,powerrrr bro,0,0,0,0,0,0,0,,0,0,0,97540.54
11/5/2019,big thanks vincent recommending amsoil high zinc my 3 1 servicing my car is now much powerful responsive than before not forget his help tuning my audio also now i feel more lively motivated driving thanks team v2d,0.083333333,0.083333333,0,0.25,0,0,0.083333333,0.166666667,0.083333333,0.166666667,0.083333333,97540.54
13/06/19,brooo,0,0,0,0,0,0,0,,0,0,0,
